S No.,Date,OPEN,HIGH,LOW,LAST_PRICE
1,19-01-2021 09:15,14599.85,14609.40,14598.05,14607.35
2,19-01-2021 09:16,14607.35,14610.40,14601.70,14607.55
3,19-01-2021 09:17,14607.55,14611.05,14598.50,14608.55
4,19-01-2021 09:18,14609.05,14615.80,14606.95,14611.45
5,19-01-2021 09:19,14611.50,14614.65,14603.65,14604.80
6,19-01-2021 09:20,14604.90,14608.95,14601.95,14605.90
7,19-01-2021 09:21,14606.15,14613.25,14597.50,14599.30
8,19-01-2021 09:22,14599.85,14605.45,14594.35,14597.95
9,19-01-2021 09:23,14598.40,14602.90,14589.25,14591.60
10,19-01-2021 09:24,14591.85,14593.40,14586.95,14591.30
11,19-01-2021 09:25,14591.15,14593.65,14584.05,14591.90
12,19-01-2021 09:26,14591.60,14599.55,14586.25,14594.00
13,19-01-2021 09:27,14593.45,14602.20,14591.70,14593.50
14,19-01-2021 09:28,14593.25,14594.50,14588.45,14589.55
15,19-01-2021 09:29,14589.35,14591.30,14584.20,14587.15
16,19-01-2021 09:30,14587.60,14593.15,14584.10,14588.55
17,19-01-2021 09:31,14588.70,14590.95,14580.20,14587.60
18,19-01-2021 09:32,14586.90,14592.45,14586.00,14588.00
19,19-01-2021 09:33,14587.75,14590.45,14581.80,14586.40
20,19-01-2021 09:34,14586.20,14592.15,14578.65,14582.95
21,19-01-2021 09:35,14583.25,14588.20,14575.15,14578.75
22,19-01-2021 09:36,14579.05,14580.55,14573.70,14576.95
23,19-01-2021 09:37,14577.05,14584.15,14572.90,14578.55
24,19-01-2021 09:38,14579.00,14581.20,14573.15,14574.75
25,19-01-2021 09:39,14574.45,14583.50,14569.55,14578.85
26,19-01-2021 09:40,14578.50,14581.95,14573.05,14575.20
27,19-01-2021 09:41,14574.95,14583.55,14566.05,14568.70
28,19-01-2021 09:42,14569.20,14576.35,14559.90,14562.35
29,19-01-2021 09:43,14562.55,14569.65,14558.30,14563.95
30,19-01-2021 09:44,14563.65,14572.00,14559.20,14565.70
31,19-01-2021 09:45,14566.25,14569.75,14559.75,14561.50
32,19-01-2021 09:46,14562.00,14564.80,14559.80,14563.40
33,19-01-2021 09:47,14563.10,14566.95,14556.85,14561.70
34,19-01-2021 09:48,14561.65,14565.50,14554.95,14561.45
35,19-01-2021 09:49,14561.70,14567.65,14559.80,14563.60
36,19-01-2021 09:50,14562.80,14564.85,14554.65,14563.75
37,19-01-2021 09:51,14564.05,14570.30,14561.85,14568.60
38,19-01-2021 09:52,14567.80,14570.60,14559.90,14566.55
39,19-01-2021 09:53,14567.05,14569.15,14562.90,14567.00
40,19-01-2021 09:54,14566.60,14572.15,14557.35,14559.85
41,19-01-2021 09:55,14559.80,14565.55,14554.60,14559.30
42,19-01-2021 09:56,14558.60,14560.50,14554.90,14558.75
43,19-01-2021 09:57,14558.50,14564.00,14551.05,14559.25
44,19-01-2021 09:58,14559.10,14566.85,14556.25,14558.70
45,19-01-2021 09:59,14558.85,14561.40,14549.80,14557.60
46,19-01-2021 10:00,14557.40,14561.85,14547.75,14552.65
47,19-01-2021 10:01,14552.85,14558.30,14546.05,14552.25
48,19-01-2021 10:02,14551.65,14555.75,14544.05,14546.40
49,19-01-2021 10:03,14546.25,14552.25,14538.30,14548.40
50,19-01-2021 10:04,14548.05,14556.90,14541.90,14554.25
51,19-01-2021 10:05,14554.50,14557.80,14549.15,14555.10
52,19-01-2021 10:06,14554.95,14564.90,14548.05,14554.05
53,19-01-2021 10:07,14553.65,14561.45,14544.65,14548.35
54,19-01-2021 10:08,14548.10,14555.60,14539.70,14548.10
55,19-01-2021 10:09,14548.15,14551.40,14538.95,14544.05
56,19-01-2021 10:10,14543.70,14545.75,14540.75,14542.20
57,19-01-2021 10:11,14542.40,14548.35,14532.95,14545.40
58,19-01-2021 10:12,14545.00,14548.55,14542.60,14544.80
59,19-01-2021 10:13,14545.45,14552.35,14539.75,14548.25
60,19-01-2021 10:14,14548.35,14554.75,14538.85,14542.95
61,19-01-2021 10:15,14543.10,14547.40,14536.95,14542.45
62,19-01-2021 10:16,14542.30,14546.95,14538.90,14540.45
63,19-01-2021 10:17,14540.60,14547.35,14531.30,14533.50
64,19-01-2021 10:18,14533.45,14537.10,14533.00,14533.95
65,19-01-2021 10:19,14534.00,14536.95,14528.40,14531.05
66,19-01-2021 10:20,14531.65,14536.15,14526.95,14532.55
67,19-01-2021 10:21,14532.15,14539.15,14524.95,14533.25
